File,Location,Original Text,Context,Replacement
templates/dashboard.html,Line 354,"Survey Insights","Tab navigation text",
templates/dashboard.html,Line 380,"Survey Insights","Tab description heading",
templates/dashboard.html,Line 801,"Recent Survey Responses","Section heading",
templates/dashboard.html,Line 859,"Survey responses pagination","Aria label for pagination",
templates/dashboard.html,Line 967,"No survey responses match your search criteria.","Empty state message",
templates/auth.html,Line 69,"Choose Survey Experience:","Form label for type selection",
templates/auth.html,Line 70,"Survey type selection","Aria label",
templates/auth.html,Line 83,"Standard form-based survey","Description text",
templates/auth.html,Line 89,"Start Survey","Button text",
templates/auth.html,Line 125,"Authentication tokens ensure that only authorized users can submit survey responses","Help text explanation",
templates/survey.html,Title,"Customer Survey - VOÏA - Voice Of Client Agent","Page title (browser tab)",
templates/survey.html,Line 18,"Customer Feedback Survey","Page heading",
templates/survey.html,Line 207,"Submit Survey","Button text",
templates/conversational_survey_business.html,Title,"{{}} - VOÏA Survey","Page title (browser tab)",
templates/conversational_survey_business.html,Line 20,"Survey information","Aria label",
templates/conversational_survey_business.html,Line 398,"If you have any questions, please contact the organization that sent this survey.","Placeholder/help text",
templates/business_auth/onboarding/complete.html,Line 337,"You can now send survey invitations to participants.","Success message",
templates/business_auth/onboarding/complete.html,Line 347,"help create and manage customer feedback surveys","Feature description",
templates/business_auth/brand_config.html,Line 88,"Set your company name and logo to personalize surveys and communications.","Section description",
templates/business_auth/brand_config.html,Line 105,"This name will be displayed in surveys and emails.","Help text",
templates/business_auth/brand_config.html,Line 140,"Adjust the palette on the left to instantly preview how your surveys will look.","Instruction text",
templates/business_auth/brand_config.html,Line 260,"Live Survey Preview","Section heading",
templates/business_auth/brand_config.html,Line 277,"Q4 Feedback Survey","Example campaign name in preview",
templates/business_auth/brand_config.html,Line 286,"Start Survey","Preview button text",
templates/business_auth/admin_panel_v2.html,Line 538,"Survey Defaults","Settings section title",
templates/business_auth/admin_panel_v2.html,Line 539,"Set default AI conversation settings for surveys","Section description",
templates/business_auth/admin_panel_v2.html,Line 640,"Export all survey responses for analysis and reporting","Feature description",
templates/business_auth/onboarding/users.html,Line 318,"Invite campaign managers to help create and manage surveys","Page description",
templates/business_auth/onboarding/users.html,Line 372,"Can create surveys, manage participants, and view analytics","Role permission description",
templates/business_auth/onboarding/users.html,Line 373,"Can view survey results and analytics but cannot create campaigns","Role permission description",
templates/business_auth/onboarding/brand.html,Line 267,"Personalize your survey experience","Section heading",
templates/business_auth/onboarding/brand.html,Line 285,"When you add your logo and brand colors, survey participants will see YOUR brand...","Explanation text",
templates/business_auth/survey_config.html,Multiple,"Customize survey behavior","Page description",
templates/campaigns/survey_config.html,Page heading,"Customize survey behavior for ""{{campaign.name}}""","Page subtitle",
templates/participants/edit.html,Help text,"Participant's email address for survey invitation","Field help text",
templates/participants/edit.html,Warning,"Email address cannot be changed (survey history exists)","Validation message",
templates/participants/upload.html,Label,"Survey Link","Column/field label",
templates/participants/upload.html,Help text,"Update segmentation data for personalized surveys and advanced analytics","Feature description",
static/js/survey.js,Error message,"Error submitting survey: [error message]","JavaScript error alert",
static/js/survey.js,Alert message,"You need a valid token to submit surveys.","Authorization error message",
static/js/dashboard/kpi-overview.js,Filename,"voc_survey_data_[date].json","Export file name",
static/js/dashboard/kpi-overview.js,Alert,"No survey responses found for this email address.","Empty state alert",
static/js/dashboard/kpi-overview.js,Alert,"No survey responses found for your email address.","Empty state alert",
static/js/dashboard/kpi-overview.js,Filename,"my_survey_responses_[date].json","Export file name",
static/js/dashboard.js,Message,"No survey responses found matching your search criteria.","Empty state message",
static/js/dashboard.js,Message,"No survey responses yet.","Empty state message",
static/js/dashboard/charts.js,Info message,"This will populate as surveys are completed.","Chart placeholder text",
email_service.py,CTA button,"Complete Your Survey","Email call-to-action button",
email_service.py,Body text,"Your feedback helps improve services and experiences. The survey should take just a few minutes to complete.","Email body text",
email_service.py,Footer,"This is an automated message. If you have any questions, please contact the organization that sent you this survey.","Email footer text",
email_service.py,Subject,"Survey Invitation - [campaign name]","Email subject line",
email_service.py,Heading,"New Survey Invitation","Email heading",
email_service.py,Subject,"Survey Reminder - [campaign name]","Email subject line",
email_service.py,Body text,"If you haven't already completed the survey, please take a few moments to share your thoughts.","Reminder email body",
email_service.py,CTA button,"Complete Survey","Reminder email button",
translations/JSON,Key,"Survey submissions","Translation key",
translations/JSON,Message,"This participant has survey history (responses, campaign associations, or email deliveries).","Warning message",
translations/JSON,Help text,"Update segmentation data for personalized surveys and advanced analytics","Feature description",
translations/JSON,Label,"Survey Link","Field label",
translations/JSON,Help text,"Configure SMTP settings to send survey invitations","Settings description",
templates/business_auth/email_delivery_config.html,Help text,"Configure SMTP settings to send survey invitations","Settings page description",
static/js/conversational_survey.js,Variable,"surveyData","Technical reference (appears in user-facing context)",
static/js/conversational_survey.js,Function,"showSurveySetup","Referenced in user flow",
templates/survey_choice.html,Page content,"Survey choice page","Page purpose (needs review)",
templates/survey_success.html,Page content,"Survey success page","Confirmation page (needs review)",
templates/public_survey_response.html,Page content,"Public survey response view","Public-facing page (needs review)",
URL routes,Route path,"/submit_survey",Backend route (impacts URLs),
URL routes,Route path,"/survey",Backend route (impacts URLs),
URL routes,Route path,"/api/survey_responses",API endpoint (impacts frontend),
URL routes,Function name,"conversational_survey()","Backend function (impacts URLs)",
URL routes,Function name,"survey_form()","Backend function (impacts URLs)"